赢投入,平投入,输投入,赢利益,平利益,输利益,8.7,4.6,1.24
12,0,88,4.4,-100,9.12,,,
12,2,86,4.4,-90.8,6.64,,,
14,0,86,21.8,-100,6.64,,,
12,4,84,4.4,-81.6,4.16,,,
14,2,84,21.8,-90.8,4.16,,,
16,0,84,39.2,-100,4.16,,,
12,6,82,4.4,-72.4,1.68,,,
14,4,82,21.8,-81.6,1.68,,,
16,2,82,39.2,-90.8,1.68,,,
18,0,82,56.6,-100,1.68,,,
0,0,0,0,0,0,,,
12,22,66,4.4,1.2,-18.16,,,
12,24,64,4.4,10.4,-20.64,,,
14,22,64,21.8,1.2,-20.64,,,
12,26,62,4.4,19.6,-23.12,,,
14,24,62,21.8,10.4,-23.12,,,
16,22,62,39.2,1.2,-23.12,,,
12,28,60,4.4,28.8,-25.6,,,
14,26,60,21.8,19.6,-25.6,,,
16,24,60,39.2,10.4,-25.6,,,
18,22,60,56.6,1.2,-25.6,,,
12,30,58,4.4,38,-28.08,,,
14,28,58,21.8,28.8,-28.08,,,
16,26,58,39.2,19.6,-28.08,,,
18,24,58,56.6,10.4,-28.08,,,
20,22,58,74,1.2,-28.08,,,
12,32,56,4.4,47.2,-30.56,,,
14,30,56,21.8,38,-30.56,,,
16,28,56,39.2,28.8,-30.56,,,
18,26,56,56.6,19.6,-30.56,,,
20,24,56,74,10.4,-30.56,,,
22,22,56,91.4,1.2,-30.56,,,
12,34,54,4.4,56.4,-33.04,,,
14,32,54,21.8,47.2,-33.04,,,
16,30,54,39.2,38,-33.04,,,
18,28,54,56.6,28.8,-33.04,,,
20,26,54,74,19.6,-33.04,,,
22,24,54,91.4,10.4,-33.04,,,
24,22,54,108.8,1.2,-33.04,,,
12,36,52,4.4,65.6,-35.52,,,
14,34,52,21.8,56.4,-35.52,,,
16,32,52,39.2,47.2,-35.52,,,
18,30,52,56.6,38,-35.52,,,
20,28,52,74,28.8,-35.52,,,
22,26,52,91.4,19.6,-35.52,,,
24,24,52,108.8,10.4,-35.52,,,
26,22,52,126.2,1.2,-35.52,,,
12,38,50,4.4,74.8,-38,,,
14,36,50,21.8,65.6,-38,,,
16,34,50,39.2,56.4,-38,,,
18,32,50,56.6,47.2,-38,,,
20,30,50,74,38,-38,,,
22,28,50,91.4,28.8,-38,,,
24,26,50,108.8,19.6,-38,,,
26,24,50,126.2,10.4,-38,,,
28,22,50,143.6,1.2,-38,,,
12,40,48,4.4,84,-40.48,,,
14,38,48,21.8,74.8,-40.48,,,
16,36,48,39.2,65.6,-40.48,,,
18,34,48,56.6,56.4,-40.48,,,
20,32,48,74,47.2,-40.48,,,
22,30,48,91.4,38,-40.48,,,
24,28,48,108.8,28.8,-40.48,,,
26,26,48,126.2,19.6,-40.48,,,
28,24,48,143.6,10.4,-40.48,,,
